id,name,lat,lon
9503617485,Beylik 2 AVM,40.9989841,28.6506323
9762055526,Neva AVM,41.1062288,28.8724883
9893929796,Nazifbey Hanı,41.0152420,28.9752022
9907143644,Cennet Center,41.0090954,29.2134653
9907143664,Karınca,41.0092934,29.2124792
10293872611,Unknown,41.0292548,28.9747296
10304125235,Meydan İstanbul Alışveriş ve Yaşam Merkezi,41.0236660,29.1259933
11845209084,Evkur,40.9239807,29.1323279
11881531080,Ev Shop,40.9229049,29.1345014
12161987538,Neonya Meydan Alışveriş Merkezi,41.0145958,29.2457157
12509743277,Hobilant AVM,40.9259648,29.1327412
12509743278,44 AVM,40.9259240,29.1325603
