adi,is_nevi,is_nevi_tnm,akaryakit_dagitim_sirketi,akaryakit_dagitim_sirketi_tnm,lpg_dagitim_sirketi,lpg_dagitim_sirketi_tnm,tesis_turu,tesis_turu_tnm,ilce_uavt,ilce,mahalle_uavt,mahalle_adi,latitude,longitude
NEFT LOJİSTİK TİCARET LİMİTED ŞİRKETİ,1,Akaryakıt,25,Starpet,,Bilinmiyor,1,Aktif,2054,SANCAKTEPE,40624,BÜYÜKBAKKALKÖY,29.22608529,40.98696716
İRFAN SAVAŞ PETROL VE PETROL ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,1,Akaryakıt,21,Turkuaz,,Bilinmiyor,1,Aktif,1835,PENDİK,40634,GÜZELYALI,29.28156925,40.85944317
SENOS PETROL ÜRÜNLERİ PAZARLAMA VE TİCARET LİMİTED ŞİRKETİ,1,Akaryakıt,13,Shell-Turcas Petrol,,Bilinmiyor,1,Aktif,1336,GAZİOSMANPAŞA,40456,ŞEMSİPAŞA,28.90675266,41.07000505
ABC GRUP OTELCİLİK YATÇILIK PETROL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2053,ESENYURT,40858,SAADETDERE,28.69146283,41.00057571
BP PETROLLERİ AŞ.,1,Akaryakıt,5,BP,14,Bp Gaz,1,Aktif,1739,ZEYTİNBURNU,40840,KAZLIÇEŞME,28.89369976,40.98218188
PUSULA BENZİN İSTASYON İÇ İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,7,Enerji Petrol,52,Enerji Gaz,1,Aktif,2004,BAĞCILAR,40165,YAVUZ SELİM,28.84661452,41.04251084
TANKAR ENERJİ PETROL OTOMOTİV İNŞAAT GIDA TAŞIMACILIK VE SANAYİ TİCARE,1,Akaryakıt,5,BP,,Bilinmiyor,1,Aktif,1835,PENDİK,40628,BAHÇELİEVLER,29.23556676,40.88487599
MERENSE ENERJİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1325,EYÜPSULTAN,40376,TOPÇULAR,28.91991842,41.04165762
ESATOĞLU PETROL GIDA İNŞAAT ANONİM ŞİRKETİ,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1659,ŞİLE,40959,ÇAVUŞ,29.60433743,41.15579592
SHELL PETROL ANONİM ŞİRKETİ,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1166,BAKIRKÖY,40193,ZEYTİNLİK,28.87435950,40.97437360
NİLÜFER PETROL AKAR.ÜRN.PAZ.DAĞ.LTD.ŞTİ.,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1604,SARIYER,40668,KİREÇBURNU,29.04263104,41.15146045
KAYALAR AKARYAKIT İNŞ.GIDA SU MADENCİLİK SAN.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2053,ESENYURT,40855,BAĞLARÇEŞME,28.67431515,41.03196841
KERİM PETROL TİC. LTD. ŞTİ.,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,2051,BEYLİKDÜZÜ,40894,YAKUPLU,28.66760101,40.98881815
KAYAKARDEŞLER PETROL İNŞAAT TAAHHÜT OTOM.VE GIDA SAN.TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2050,BAŞAKŞEHİR,40583,KAYABAŞI,,
ASP PETROL VE TİCARET ANONİM ŞİRKETİ,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2054,SANCAKTEPE,40624,BÜYÜKBAKKALKÖY,29.22024278,40.98060433
ÇATALCA PETROL GIDA TURİZM SAN.VE TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1237,ÇATALCA,40897,FERHATPAŞA,28.46564530,41.13514557
DAĞYOLU PETROL ÜRÜNLERİ İNŞAAT TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2016,ESENLER,40351,TUNA,28.85920901,41.05024848
SHELL PETROL AŞ.,1,Akaryakıt,13,Shell-Turcas Petrol,,Bilinmiyor,1,Aktif,1604,SARIYER,40680,YENİKÖY,29.06441979,41.11772420
LİBERO AKARYAKIT SPOR SAĞLIK GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ,1,Akaryakıt,15,Total,,Bilinmiyor,1,Aktif,2049,ATAŞEHİR,40740,MUSTAFA KEMAL,29.08879255,40.99697425
YÜKSEL PETROL ÜRÜNLERİ PAZ.SAN.VE TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2004,BAĞCILAR,40158,KAZIM KARABEKİR,28.84646128,41.02869735
ONUR DIŞ TİCARET LTD. ŞTİ.,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2012,MALTEPE,40618,GİRNE,29.14385305,40.94268716
SULTANBEYLİ SARPER PETROL ANONİM ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2054,SANCAKTEPE,40574,VEYSEL KARANİ,29.24066147,40.97492860
BP PETROLLERİ AŞ.,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2004,BAĞCILAR,40155,BAĞLAR,28.82851460,41.02468823
YÜKSEL PETROL ÜRÜNLERİ PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,,Bilinmiyor,,Bilinmiyor,1,Aktif,1663,ŞİŞLİ,,MERKEZ,,
İSTANBUL ENERJİ SANAYİ VE TİCARET A.Ş.,1,Akaryakıt,,Bilinmiyor,,Bilinmiyor,1,Aktif,2051,BEYLİKDÜZÜ,,,,
SHELL PETROL AŞ.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1823,KÜÇÜKÇEKMECE,40590,HALKALI MERKEZ,28.79068333,41.02885255
KARDEŞLER PETROL İNŞ.TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,9,LukOil,3,Akpet Gaz,1,Aktif,2014,SULTANBEYLİ,40950,MEHMET AKİF,29.27415361,40.96435042
NURSEL PETROL GIDA İNŞAAT TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2048,ARNAVUTKÖY,40906,ÖMERLİ,28.62940650,41.11753578
CONVEY PETROL ÜRÜN.SAN.VE TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1325,EYÜPSULTAN,40368,KARADOLAP,28.93045376,41.07948450
NERGİS BENZİN İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1823,KÜÇÜKÇEKMECE,40590,HALKALI MERKEZ,28.80740684,41.03364903
HALİLOĞLU PETROL ÜRÜNLERİ PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,1,Akaryakıt,5,BP,,Bilinmiyor,1,Aktif,1449,KARTAL,40567,SOĞANLIK YENİ,29.19910787,40.91082712
HEDEF PETROL İNŞAATOTOMOTİV NAK.DIŞTİC.LTD.ŞTİ.,1,Akaryakıt,10,Opet,10,Aygaz,1,Aktif,2015,TUZLA,40731,FATİH,29.33890266,40.93162410
ENERJİ MADENİ YAĞLAR ÜRETİM VE PAZARLAMA ANONİM ŞİRKETİ,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1237,ÇATALCA,40903,ATATÜRK,28.18491916,41.41039208
KARTALKAYA İNŞ.-RENT A CAR SAN.VE TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1622,SİLİVRİ,40921,YENİ,28.29259980,41.06963005
MERTAY ENERJİ SANAYİ TİCARET ANONİM ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1708,ÜSKÜDAR,40820,SELİMİYE,29.02021941,41.01064393
TANKAR ENERJİ PETROLOTOMOT.İNŞ.GIDA TAŞ.VE SAN.TİC.LTD.ŞTİ.,1,Akaryakıt,5,BP,,Bilinmiyor,1,Aktif,2050,BAŞAKŞEHİR,40581,BAŞAKŞEHİR,28.78326758,41.10409804
GÜZEL ENERJİ AKARYAKIT ANONİM ŞİRKETİ,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1708,ÜSKÜDAR,40809,KISIKLI,29.08152877,41.02386574
EKENLER PETROL ÜRÜNLERİ PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1782,BÜYÜKÇEKMECE,40844,ALKENT 2000,28.62487209,41.07923068
KORKMAZLAR AKARY.İNŞ.TUR.SAN.VE TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2053,ESENYURT,40861,ARDIÇLI,28.67641230,41.04239594
DE-KA PETROL ÜRN.DAY.TÜK.MAL.TURZ.İNŞ.,1,Akaryakıt,25,Starpet,,Bilinmiyor,1,Aktif,2016,ESENLER,40347,MENDERES,28.88090155,41.04137304
KMARİN DENİZCİLİK TİCARET ANONİM ŞİRKETİ,1,Akaryakıt,,Bilinmiyor,,Bilinmiyor,1,Aktif,2051,BEYLİKDÜZÜ,40893,MARMARA,28.65597255,40.96124162
MENGİ PETROL MÜHENDİSLİK HİZMETLERİ GIDA İNŞAAT TARIM TURİZM SANAYİ VE,2,Akaryakıt Lpg,10,Opet,29,Mogaz,1,Aktif,2015,TUZLA,40732,MESCİT,29.34923857,40.88408316
MERMER PETROL LTD.ŞTİ.,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1185,BEYKOZ,40237,GÜMÜŞSUYU,29.09614625,41.12788140
ŞİŞLİ PETROL LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,1663,ŞİŞLİ,40696,HALİDE EDİP ADIVAR,28.97611861,41.05952851
OPET MARKET VE AKARYAKIT İST.İŞL.A.Ş.,2,Akaryakıt Lpg,10,Opet,,Bilinmiyor,1,Aktif,2015,TUZLA,40725,AKFIRAT,,
ÇEVİKLER PETROL TİC.VE SAN.LTD.ŞTİ.,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1237,ÇATALCA,40901,OVAYENİCE,28.42483278,41.10456986
" AYTEMİZ PETROLCÜLÜK TİCARET LİMİTED ŞİRKETİ",2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,1325,EYÜPSULTAN,191745,ÇİFTALAN,28.90607452,41.23651473
ENERJİ MADENİ YAĞLAR ÜRETİM VE PAZARLAMA ANONİM ŞİRKETİ,1,Akaryakıt,27,Türkiye Petrol,,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40930,BALABAN,28.03743955,41.08455767
ERDEM PETROL DAĞITIM TİC. LTD. ŞTİ.,2,Akaryakıt Lpg,12,Petrol Ofisi,36,Petro Gaz,1,Aktif,2012,MALTEPE,40614,CEVİZLİ,29.15102638,40.92404171
ANAFARTA PETROL ÜRÜNLERİ PAZARLAMA NAKLİYAT VE TİCARET ANONİM ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2003,AVCILAR,40153,YEŞİLKENT,28.68774615,41.05105637
SELCAN OTOMOTİV.SAN.VE DIŞ.TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1327,FATİH,40387,SEYYİD ÖMER,28.92843682,41.00725845
GÜNDOĞDU AKARYAKIT İNŞ.TURİZM VE TİC.A.Ş.,2,Akaryakıt Lpg,2,Alpet,6,Alpet,1,Aktif,1325,EYÜPSULTAN,40483,BOĞAZKÖY İSTİKLAL,28.81707269,41.13673143
GÜMÜŞ PETROL VE MAKİNE SAN.LTD.ŞTİ.,1,Akaryakıt,13,Shell-Turcas Petrol,,Bilinmiyor,1,Aktif,2053,ESENYURT,40851,FATİH,28.68004637,41.03380717
ENES AKARYAKIT DAĞITIM İNŞ. VE TURİZM TİC.LTD.ŞTİ.,1,Akaryakıt,10,Opet,10,Aygaz,1,Aktif,1325,EYÜPSULTAN,40376,TOPÇULAR,28.91734304,41.03914139
B.ÇAVUŞLU RÜYA TES.TUR.NAK.EML.GÜM.HİZ.PET.ÜRN.,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1622,SİLİVRİ,40941,BÜYÜK ÇAVUŞLU,28.03778348,41.24933896
KEMAL TEPRETOĞULLARI OTOMOTİV SANAYİ VE TİCARET ANONİM ŞİRKETİ,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1421,KADIKÖY,40509,ACIBADEM,29.03626706,41.00306655
KUZUOĞLU PETROL ÜRÜNLERİ TİCARET LİMİTED ŞİRKETİ,1,Akaryakıt,13,Shell-Turcas Petrol,,Bilinmiyor,1,Aktif,1325,EYÜPSULTAN,40374,SAKARYA,28.94297153,41.06626839
BP PETROLLERİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2053,ESENYURT,40866,YEŞİLKENT,28.66262247,41.03065998
OPET MARKET VE AKARYAKIT İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,10,Opet,,Bilinmiyor,1,Aktif,1237,ÇATALCA,40909,NAKKAŞ,,
ŞENKAL PETROL ÜRÜN.MAD.SAN.VE DIŞ TİC.A.Ş.,2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,2004,BAĞCILAR,40169,15 TEMMUZ,28.81695939,41.04482464
AYTEMİZ PETROLCÜLÜK TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,1421,KADIKÖY,40509,ACIBADEM,29.03535600,41.00477289
MİRAP ULUSLARARASI NAKLİYAT TURİZM OTOMOTİV AKARYAKIT SAN. VE TİC. A.Ş,1,Akaryakıt,,Bilinmiyor,,Bilinmiyor,1,Aktif,1835,PENDİK,40642,VELİBABA,29.25279936,40.90661526
COB 3 PETROL İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,10,Opet,,Bilinmiyor,1,Aktif,1782,BÜYÜKÇEKMECE,40846,CUMHURİYET,28.63257349,41.01840194
ÜNSOY TURİZM İNŞ.SAN.VE TİC.A.Ş.,1,Akaryakıt,13,Shell-Turcas Petrol,,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40922,CUMHURİYET,28.27883598,41.07046999
SİLYON AKARYAKIT OTOMOTİV GIDA İNŞAAT TİC.LTD.ŞTİ.,1,Akaryakıt,,Bilinmiyor,,Bilinmiyor,1,Aktif,2053,ESENYURT,40863,ORHAN GAZİ,,
BP PETROLLERİ AŞ.,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1327,FATİH,99129,HASEKİ SULTAN,28.93679318,41.00707534
BAŞAKŞEHİR PETROL ÜRÜN.GIDA NAK.VE OTOM.TİC.AŞ.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2050,BAŞAKŞEHİR,40581,BAŞAKŞEHİR,28.79100388,41.09846363
NİYAZİ ÖZTÜRK PETROL ÜRN.OTO KİR.TAŞ.İNŞ.VE TAH.TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1336,GAZİOSMANPAŞA,40455,MERKEZ,28.90966919,41.05559916
DİNÇ PETROL VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2048,ARNAVUTKÖY,40906,ÖMERLİ,28.63411926,41.09169625
ROTA BENZİN İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,7,Enerji Petrol,18,Enerji Petrol,1,Aktif,2004,BAĞCILAR,40174,KEMALPAŞA,28.85444228,41.05404038
ONURPET AKARYAKIT İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,1,Akaryakıt,32,Çekoil,,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40921,YENİ,28.27391577,41.07231784
SEV-TAŞ PETROL İSMAİL SEVİNÇ-YUSUF AKTAŞ KOLL. ŞTİ.,1,Akaryakıt,14,Termopet Akaryakıt,,Bilinmiyor,1,Aktif,1237,ÇATALCA,40917,ÇİFTLİKKÖY,28.41568618,41.33691805
HAMDİ YOSMA - HAMDİ PETROL,1,Akaryakıt,15,Total,,Bilinmiyor,1,Aktif,1708,ÜSKÜDAR,40808,KİRAZLITEPE,29.06536996,41.03650507
TEZCANLAR ORMAN VE PETROL ÜRÜNLERİ TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,2,Alpet,48,Exen Gaz,1,Aktif,1237,ÇATALCA,191791,GÖKÇEALİ,28.44551218,41.19727482
ESENYURT PETROL VE TİC.AŞ.,2,Akaryakıt Lpg,2,Alpet,6,Alpet,1,Aktif,2053,ESENYURT,40851,FATİH,28.68260853,41.02936748
GÖZDE PETROL ÜRÜN.PAZ.VE TİC.A.Ş.,1,Akaryakıt,13,Shell-Turcas Petrol,,Bilinmiyor,1,Aktif,1449,KARTAL,40571,YALI,29.21995075,40.89993015
ADELTA PETROL ÜRÜNLERİ GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,2052,ÇEKMEKÖY,191997,REŞADİYE,29.25029521,41.07875581
KİTSAN AKARYAKIT GIDA İNŞ.SAN.VE TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,32,Çekoil,,Bilinmiyor,1,Aktif,2052,ÇEKMEKÖY,40752,NİŞANTEPE,29.27602181,41.04312366
" RİZA MUSA KOÇ PETROL ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ",2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,2053,ESENYURT,181508,SULTANİYE,28.68757661,41.02169457
DOCO PETROL VE DANIŞMANLIK AŞ.,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1708,ÜSKÜDAR,40781,ALTUNİZADE,29.04313523,41.02308930
PETROL OFİSİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1823,KÜÇÜKÇEKMECE,40607,CENNET,28.78385495,40.98594941
ÖZTÜRK KARDEŞLER KOLL.ŞTİ. ,1,Akaryakıt,14,Termopet Akaryakıt,,Bilinmiyor,1,Aktif,1336,GAZİOSMANPAŞA,40457,FEVZİ ÇAKMAK,28.90311374,41.06964438
YENİ TOPÇUOĞLU PETR. ÜRÜNLERİ İNŞAAT NAKLİYAT HAFRİYAT GIDA SANAYİ VE ,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2055,SULTANGAZİ,40466,YUNUS EMRE,28.89592117,41.09514910
KIZTAŞI PETROL ÜRN. SAN. VE TİC. LTD.ŞTİ.,1,Akaryakıt,5,BP,,Bilinmiyor,1,Aktif,1327,FATİH,40397,İSKENDERPAŞA,28.94926326,41.01637965
İHSAN ÖZGÜL KARACAKÖY PETROL,1,Akaryakıt,21,Turkuaz,,Bilinmiyor,1,Aktif,1237,ÇATALCA,40916,KARACAKÖY MERKEZ,28.37736237,41.40368877
ASB PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,10,Opet,29,Mogaz,1,Aktif,2048,ARNAVUTKÖY,191989,YASSIÖREN,28.59808428,41.18348043
BLUE PETROL ÜRÜNLERİ İNŞAAT TAAHHÜT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1823,KÜÇÜKÇEKMECE,40590,HALKALI MERKEZ,28.79570732,41.02941408
ONATERLER PETROL SAN.VE TİC.LTD.ŞTİ.,1,Akaryakıt,5,BP,,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40919,PİRİ MEHMET PAŞA,28.24642011,41.07694152
ASO PETROL İNŞ.SAN.VE TİC.A.Ş.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1886,BAYRAMPAŞA,40206,TERAZİDERE,28.90068303,41.02806636
ATE KOLLEKTİF ŞİRKETİ TURAN VE EKREM ÖZKAN,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1186,BEYOĞLU,40302,KEÇECİ PİRİ,28.95672622,41.03833142
BABAN PETROL ÜRÜN.SAN.VE TİC.A.Ş.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1421,KADIKÖY,40508,KOŞUYOLU,29.03031176,41.00436516
SHELL PETROL AŞ.,1,Akaryakıt,13,Shell-Turcas Petrol,,Bilinmiyor,1,Aktif,1336,GAZİOSMANPAŞA,40462,MEVLANA,28.91672524,41.08253132
TAM PETROL PETROL ÜRÜN. ALIM SATIM LTD.ŞTİ.,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1186,BEYOĞLU,40294,ÖMER AVNİ,28.99380776,41.03532153
BP PETROLLERİ ANONİM ŞİRKETİ,1,Akaryakıt,5,BP,,Bilinmiyor,1,Aktif,2012,MALTEPE,40612,ALTAYÇEŞME,29.12881027,40.93139349
CÖMERT AKARYAKIT NAKLİYAT İNŞAAT VE TURİZM İŞL.TİC.LTD ŞTİ.,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1782,BÜYÜKÇEKMECE,40868,PINARTEPE,28.60520225,40.99781132
AKSEMA AKARYAKIT VE TİCARET ANONİM ŞİRKETİ,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1739,ZEYTİNBURNU,40836,VELİEFENDİ,28.89457035,40.99398610
SENEGER PETROL ÜRÜNLERİ GIDA NAKLİYE VE İNŞ. NAK. TİC. LTD ŞTİ.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1835,PENDİK,40653,YENİŞEHİR,29.31722879,40.93937772
KAPLANER MÜH. İNŞ. TURİZM PETROL LTD. ŞTİ.,1,Akaryakıt,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2015,TUZLA,40720,AYDINLI,29.33149329,40.87124126
ATASOY VE ABDİKOĞLU PET.  VE AKAR.PAZ. NAK.TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2012,MALTEPE,40616,YALI,29.14083401,40.91444451
PETROL OFİSİ ANONİM ŞİRKETİ,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1810,KAĞITHANE,40553,YEŞİLCE,29.00441833,41.09362435
PÜRTAŞ PETROL ÜRN.TİC.A.Ş.,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1810,KAĞITHANE,40543,MERKEZ,28.97196755,41.07857234
BAYRAKTAR PET.ÜRÜN.PAZ.SAN.VE TİC.LTD.ŞTİ.,1,Akaryakıt,14,Termopet Akaryakıt,,Bilinmiyor,1,Aktif,1622,SİLİVRİ,191853,DANAMANDIRA,28.24175507,41.30537103
PETROL OFİSİ ANONİM ŞİRKETİ,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1852,ÜMRANİYE,40748,ATAKENT,29.10961330,41.02278530
ÖZTÜRKLER MADENİYAĞ ÜRÜNLERİ AKARYAKIT TURİZM İNŞAAT SANAYİ TİCARET Lİ,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1739,ZEYTİNBURNU,40505,TOZKOPARAN,28.90877611,41.01981277
GÖRPET PETROL ÜRÜNLERİ İNŞ.VE OTOMOTİV SAN.VE TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1835,PENDİK,40648,YEŞİLBAĞLAR,29.22853250,40.89433953
GÜRCAN PETROLCÜLÜK A.Ş.,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1663,ŞİŞLİ,40687,BOZKURT,28.98502515,41.04841645
FEBA LOJİSTİK HAFRİYAT İNŞAAT TAAHHÜT SANAYİ İÇ VE DIŞ TİCARET LİMİTED,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,2015,TUZLA,40729,ORTA,29.36930541,40.89881483
RENK PETROL  SAN. VE TİCARET LİMİTED ŞİRKETİ,1,Akaryakıt,15,Total,42,Totalgaz,1,Aktif,2051,BEYLİKDÜZÜ,40894,YAKUPLU,28.66840080,40.98987317
PETROL OFİSİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2005,BAHÇELİEVLER,40182,KOCASİNAN MERKEZ,28.84679765,41.01313068
OKURLAR PETROL HAYVANCILIK TARIM İNŞAAT GIDA NAK.SAN.TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2054,SANCAKTEPE,40763,SARIGAZİ,29.20168331,41.00791108
C.I.T.Y. TURİZM TİC.VE SAN.LTD.ŞTİ.,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1166,BAKIRKÖY,40197,KARTALTEPE,28.88374387,40.98784904
PORT ENERJİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,20,Full,50,Full Gaz,1,Aktif,1835,PENDİK,40653,YENİŞEHİR,29.31562524,40.92653517
SOLMAZLAR TURİZM SAN. VE TİC. LTD. ŞTİ.,2,Akaryakıt Lpg,2,Alpet,48,Exen Gaz,1,Aktif,2051,BEYLİKDÜZÜ,40870,DEREAĞZI,28.61889796,40.98943024
SHELL PETROL ANONİM ŞİRKETİ,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,47,Pogaz,1,Aktif,1449,KARTAL,40555,CEVİZLİ,29.16989523,40.91616064
SHELL PETROL ANONİM ŞİRKETİ,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1739,ZEYTİNBURNU,40842,MERKEZEFENDİ,28.91287897,41.01682003
TUNA PETROKİMYA TİCARET LİMİTED ŞİRKETİ,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,2015,TUZLA,40728,ORHANLI,29.35516815,40.89393440
TUZCUOĞLU AKARYAKIT YAPI SANAYİ VE TİCARET LİMİTED ŞİRKETİ,1,Akaryakıt,15,Total,,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40921,YENİ,28.26178320,41.07458129
GÖKTAY AKARYAKIT OTOMOTİV İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,27,Türkiye Petrol,51,Türkiye Petrol,1,Aktif,2014,SULTANBEYLİ,40947,TURGUT REİS,29.28443917,40.96388354
PETROL OFİSİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1782,BÜYÜKÇEKMECE,40887,MİMAR SİNAN,28.53766986,41.00797010
