adi,is_nevi,is_nevi_tnm,akaryakit_dagitim_sirketi,akaryakit_dagitim_sirketi_tnm,lpg_dagitim_sirketi,lpg_dagitim_sirketi_tnm,tesis_turu,tesis_turu_tnm,ilce_uavt,ilce,mahalle_uavt,mahalle_adi,latitude,longitude
BÜYÜK MOTOR OTOMOTİVTURZ.İNŞ.AKARYAKIT TİC.VE SAN. A.Ş.,1,Akaryakıt,,Bilinmiyor,,Bilinmiyor,1,Aktif,2051,BEYLİKDÜZÜ,40869,ADNAN KAHVECİ,28.62225456,41.00584050
BEYLİKDÜZÜ PETROL ÜRÜN. VE LİKİT GAZ TİC. LTD. ŞTİ,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2051,BEYLİKDÜZÜ,40875,BARIŞ,28.65510920,41.00976787
OBA PETROL ÜRNLERİ SANAYİ VE DIŞ TİC. LTD. ŞTİ.,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1782,BÜYÜKÇEKMECE,40887,MİMAR SİNAN,28.54140741,41.01261672
ATAK OTOMOBİL VE AKARYAKIT ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1782,BÜYÜKÇEKMECE,40929,KAMİLOBA,28.42850663,41.04027366
EKKA PETROL TURİZM NAKLİYAT İNŞ.GIDA SAN.TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1835,PENDİK,40636,HARMANDERE,29.31750646,40.92669114
SHELL PETROL ANONİM ŞİRKETİ,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1663,ŞİŞLİ,40709,TEŞVİKİYE,28.99761204,41.05601313
PETROL OFİSİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2049,ATAŞEHİR,40533,KAYIŞDAĞI,29.14550502,40.98849474
BAŞAKŞEHİR PETROL ÜRN.GIDA NAK.OTO.TİC.AŞ.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2015,TUZLA,40731,FATİH,29.35090343,40.92611498
ÖZKANLILAR PETROL SAN.VE TİC.LTD.ŞTİ.,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1622,SİLİVRİ,191837,ÇELTİK,28.11222224,41.10724102
ZYD PETROL ENERJİ BİLİŞİM TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,,Bilinmiyor,,Bilinmiyor,1,Aktif,2015,TUZLA,40720,AYDINLI,,
